stashpoint_id,hours
00e7c763dc1c,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
00e8c8f78118,0:09:00-21:00|1:09:00-21:00|2:09:00-21:00|3:09:00-21:00|4:09:00-21:00|5:09:00-21:00
00f335eee8e7,0:10:00-18:00|1:10:00-18:00|2:10:00-18:00|3:10:00-18:00|4:10:00-18:00|5:11:00-17:00
00fbaa778b90,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
00fbecd54d9a,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
00fd42716eee,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
010123adc8f9,0:10:00-18:00|1:10:00-18:00|2:10:00-18:00|3:10:00-18:00|4:10:00-18:00|5:10:00-18:00|6:10:00-18:00
010216a1973a,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
010661f3dd32,0:09:00-17:00|1:09:00-17:00|2:09:00-17:00|3:09:00-17:00|4:09:00-17:00|5:09:00-17:00
010b30f2e917,0:09:00-12:30|0:14:30-18:30|1:09:00-12:30|1:14:30-18:30|2:09:00-12:30|2:14:30-18:30|3:09:00-12:30|3:14:30-18:30|4:09:00-12:30|4:15:00-18:30|5:09:00-12:00
0117473768e7,0:09:00-18:00|1:09:00-18:00|2:09:00-18:00|3:09:00-18:00|4:09:00-18:00|5:10:00-15:00
011940714141,0:07:30-21:00|1:07:30-21:00|2:07:30-21:00|3:07:30-21:00|4:07:30-21:00|5:07:30-21:00|6:07:30-21:00
011ad7e73b3d,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
011cd6a8ea20,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
0125b9c6d8ed,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
0128b81879b9,0:08:00-18:00|1:08:00-18:00|2:08:00-18:00|3:08:00-18:00|4:08:00-18:00|5:08:00-15:00
0128f0e7c80f,0:10:30-22:00|1:10:30-22:00|2:10:30-22:00|3:10:30-22:00|4:10:30-22:00|5:10:30-22:00|6:10:30-22:00
012c133a0c7a,0:10:00-23:00|1:10:00-23:00|2:10:00-23:00|3:10:00-23:00|4:10:00-23:00|5:10:00-23:00|6:10:00-23:00
013182b888dc,0:10:30-20:00|1:10:30-20:00|2:10:30-20:00|3:10:30-20:00|4:10:30-20:00|5:10:00-20:00|6:10:00-20:00
0132c0afef67,0:10:00-18:00|1:10:00-18:00|2:10:00-18:00|3:10:00-18:00|4:10:00-18:00|5:10:00-18:00|6:10:00-18:00
013896b761ad,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
013ad0ead259,0:10:00-14:00|0:17:00-20:00|1:10:00-14:00|1:17:00-20:00|2:10:00-14:00|2:17:00-20:00|3:10:00-14:00|3:17:00-20:00|4:10:00-14:00|4:17:00-20:00|5:10:00-14:00|5:17:00-20:00|6:10:00-14:00|6:17:00-20:00
013b161b985e,0:09:00-19:00|1:09:00-19:00|2:09:00-19:00|3:09:00-19:00|4:09:00-19:00|5:09:00-19:00|6:09:00-19:00
013dcbd61ed4,0:11:00-19:00|1:11:00-19:00|2:11:00-19:00|3:11:00-19:00|4:11:00-19:00|5:11:00-19:00
013ddf536ec6,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
0140efb24584,0:10:00-21:00|1:09:00-21:00|2:09:00-21:00|3:09:00-21:00|4:09:00-21:00|5:09:00-21:00|6:09:00-21:00
01454057776b,0:08:00-00:00|1:08:00-00:00|2:08:00-00:00|3:08:00-00:00|4:08:00-00:00|5:08:00-00:00|6:08:00-00:00
014a96322ef5,0:09:00-18:00|1:09:00-18:00|2:09:00-18:00|3:09:00-18:00|4:09:00-18:00|5:09:00-18:00|6:09:00-18:00
015ffa87323a,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
01739ef50ac5,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
0176e7eca1c2,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
017f86c84b22,0:08:00-23:00|1:08:00-23:00|2:08:00-23:00|3:08:00-23:00|4:08:00-23:00|5:08:00-23:00|6:08:00-23:00
01893efe9838,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
018c439e1ccf,0:09:00-21:00|1:09:00-21:00|2:09:00-21:00|3:09:00-21:00|4:09:00-21:00|5:09:00-21:00|6:09:00-21:00
018f828718f8,0:09:00-19:00|1:09:00-19:00|2:09:00-19:00|3:09:00-19:00|4:09:00-19:00|5:09:00-14:00
0190e1df1ec3,0:10:00-13:00|0:15:00-19:00|1:10:00-13:00|1:15:00-19:00|2:10:00-13:00|2:15:00-19:00|3:10:00-13:00|3:15:00-19:00|4:10:00-13:00|4:15:00-19:00
019495175ebe,0:08:00-20:30|1:08:00-20:30|2:08:00-20:30|3:08:00-20:30|4:08:00-20:30|5:08:00-20:30|6:09:00-14:00
019714cafc92,0:09:00-18:00|1:09:00-18:00|2:09:00-18:00|3:09:00-18:00|4:09:00-18:00|5:09:00-18:00|6:09:00-18:00
019b6446fb08,1:09:00-21:00|2:09:00-21:00|3:09:00-21:00|4:09:00-21:00|5:09:00-21:00|6:09:00-21:00
01a060012856,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
01a184d0768f,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
01a1f2ee93d3,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
01a3338eb54d,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
01aaa2aa7fa9,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
01b56958d197,0:09:00-21:00|1:09:00-21:00|2:09:00-21:00|3:09:00-21:00|4:09:00-21:00|5:09:00-21:00|6:09:00-21:00
01b8768f69cd,0:08:00-13:00|0:15:30-18:30|1:08:00-13:00|1:15:30-18:30|2:08:00-13:00|2:15:30-18:30|3:08:00-13:00|3:15:30-18:30|4:08:00-13:00|4:15:30-18:30|5:08:30-12:30
01bbb1f2e778,0:09:00-14:00|0:17:00-20:00|1:09:00-14:00|1:17:00-20:00|2:09:00-14:00|2:17:00-20:00|3:09:00-14:00|3:17:00-20:00|4:09:00-14:00|4:17:00-20:00|5:10:00-14:00
01bdbdc50bc6,0:09:00-20:00|1:09:00-20:00|2:09:00-20:00|3:09:00-20:00|4:09:00-20:00|5:09:00-20:00
01be44c785d5,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
01bedb411d32,0:07:30-18:00|1:07:30-18:00|2:07:30-18:00|3:07:30-18:00|4:07:30-18:00|5:07:30-18:00|6:07:30-18:00
01c072e4fec1,1:16:00-23:00|2:16:00-23:00|3:16:00-23:00|4:16:00-23:00|5:16:00-23:00|6:16:00-23:00
01c6bdfe9ecc,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
01cb468b4bad,0:07:00-00:00|1:07:03-00:00|2:07:00-00:00|3:07:00-00:00|4:08:00-00:00|5:07:00-00:00|6:08:02-00:00
01cd3e7f69c4,0:10:00-22:00|1:10:00-22:00|2:10:00-22:00|3:10:00-22:00|4:10:00-22:00|5:10:00-22:00|6:10:00-22:00
01cdc5211d4a,0:08:00-13:30|0:15:30-19:30|1:08:00-13:30|1:15:30-19:30|2:08:00-13:30|2:15:30-19:30|3:08:00-13:30|3:15:30-19:30|4:08:00-13:30|4:15:30-19:30|5:08:00-13:30|5:15:30-19:30|6:08:00-13:30|6:15:30-19:30
01ce7f16a313,0:10:00-20:00|1:10:00-20:00|2:10:00-20:00|3:10:00-20:00|4:10:00-20:00|5:10:00-20:00
01cf2661a0d0,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
01dfbd7c8b91,0:06:00-22:00|1:06:00-22:00|2:06:00-22:00|3:06:00-22:00|4:06:00-22:00|5:10:00-22:00|6:10:00-22:00
01e1c44e4a37,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
01e2d2470270,0:09:30-13:30|1:09:00-13:30|2:09:00-13:30|3:09:00-13:30|4:09:00-13:30|5:09:30-13:30|6:09:30-13:30
01e5b527be43,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
01eccc7b4262,0:08:00-22:00|1:08:00-22:00|2:08:00-22:00|3:08:00-22:00|4:08:00-22:00|5:08:00-22:00|6:08:00-22:00
0203046d526d,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
02085eeaba80,0:08:30-21:00|1:08:30-21:00|2:08:30-21:00|3:08:30-21:00|4:08:30-21:00|5:08:30-21:00|6:08:30-21:00
0209a4d064c8,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
020cc645a0ba,0:07:00-23:00|1:07:00-23:00|2:07:00-23:00|3:07:00-23:00|4:07:00-23:00|5:07:00-23:00|6:07:00-23:00
02155b0f167c,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
021fa5c6b0ed,0:10:00-19:00|1:10:00-19:00|2:10:00-19:00|3:10:00-19:00|4:10:00-19:00|5:10:00-19:00|6:10:00-19:00
0227f4db4c18,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
0236ca2138bb,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
023b36d96254,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
0240df1bcae4,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
0246b34188ba,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
0248cf5c4e73,0:08:30-18:30|1:08:30-18:30|2:08:30-18:30|3:08:30-18:30|4:08:30-18:30|5:08:30-18:30|6:08:30-18:30
024cd05a846e,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
02559c8b4fe5,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
0256a05b368c,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
0258dece3a9c,0:07:00-23:00|1:07:00-23:00|2:07:00-23:00|3:07:00-23:00|4:07:00-23:00|5:07:00-23:00|6:07:00-23:00
025aeeab732a,0:10:00-19:30|1:09:30-20:30|2:09:30-20:30|3:09:30-20:30|4:09:30-20:30|5:09:30-20:30|6:10:00-19:30
025ebd716d9a,0:06:00-22:00|1:06:00-22:00|2:06:00-22:00|3:06:00-22:00|4:06:00-22:00|5:10:00-22:00|6:10:00-22:00
026fee2bd0e9,0:08:00-14:00|1:08:00-14:00|2:08:00-14:00|3:08:00-14:00|4:08:00-14:00
0275b93a51fa,0:00:00-04:00|0:00:00-00:00|0:08:00-00:00|1:00:00-04:00|1:08:00-00:00|2:00:00-04:00|2:08:00-00:00|3:00:00-04:00|3:08:00-00:00|4:00:00-04:00|4:08:00-00:00|5:00:00-04:00|5:08:00-00:00|6:00:00-04:00|6:08:00-00:00
0284f6b6933c,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
028b530b076d,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
028cafcbac55,0:08:00-23:00|1:08:00-23:00|2:08:00-23:00|3:08:00-23:00|4:08:00-23:00|5:08:00-23:00|6:08:00-23:00
028cb582130a,0:17:00-00:00|1:00:00-12:00|1:17:00-00:00|2:00:00-12:00|2:17:00-00:00|3:00:00-12:00|3:17:00-00:00|4:00:00-12:00|4:17:00-00:00|5:00:00-12:00|5:17:00-00:00|6:00:00-12:00
028fb39ef9da,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
029bd72b2d55,0:10:00-21:00|1:10:00-21:00|2:10:00-21:00|3:10:00-21:00|4:10:00-21:00|5:10:00-21:00
029c5612788d,0:10:00-17:00|1:10:00-17:00|2:10:00-17:00|3:10:00-17:00|4:10:00-17:00
029cb52f2185,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
02a05e321ae3,0:09:30-18:30|1:09:30-18:30|2:09:30-18:30|3:09:30-18:30|4:09:30-18:30
02a0df5e733c,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
02ba0b8fd648,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
02c360265c8f,0:09:00-18:00|1:09:00-18:00|2:09:00-18:00|3:09:00-18:00|4:09:00-18:00
02c3845fd792,0:09:30-17:30|1:09:30-17:30|2:09:30-17:30|3:09:30-17:30|4:09:30-17:30|5:09:30-17:30|6:10:30-16:30
02cf8becf8ed,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
02d216af8025,0:08:00-21:00|1:08:00-21:00|2:08:00-21:00|3:08:00-21:00|4:08:00-21:00|5:08:00-21:00|6:08:00-21:00
02d264164e40,0:10:00-16:00|1:10:00-16:00|2:10:00-16:00|3:10:00-16:00|4:10:00-16:00
02da47341216,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
02df8d30c532,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
02e3bcde8967,0:06:00-23:00|1:06:00-23:00|2:06:00-23:00|3:06:00-23:00|4:06:00-23:00|5:06:00-23:00|6:06:00-23:00
02ed1c013be9,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
02edd32146b4,0:08:00-22:00|1:08:00-22:00|2:08:00-22:00|3:08:00-22:00|4:08:00-22:00|5:10:00-22:00|6:10:00-22:00
02f07b6634df,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
02f7bae17e5c,0:07:30-22:30|1:07:30-22:30|2:07:30-22:30|3:07:30-22:30|4:07:30-22:30|5:07:30-22:30|6:08:30-22:30
02f7d7826111,0:07:00-23:00|1:07:00-23:00|2:07:00-23:00|3:07:00-23:00|4:07:00-23:00|5:07:00-23:00|6:07:00-23:00
02f86ace2f86,0:01:00-00:00|1:01:00-00:00|2:01:00-00:00|3:01:00-00:00|4:01:00-00:00|5:01:00-00:00|6:01:00-00:00
02f9df308de4,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
02fa8f2b4df7,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
030188356f2e,0:09:00-19:00|1:09:00-19:00|2:09:00-19:00|3:09:00-19:00|4:09:00-19:00|5:09:00-19:00
0301a48f1b20,0:00:00-08:00|0:10:00-10:00|1:10:00-10:00|2:10:00-10:00|3:10:00-10:00|4:10:00-10:00|5:10:00-10:00|6:12:00-00:00
0301c9037200,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
0311f22f593d,0:09:00-22:30|1:10:00-22:30|2:10:00-22:30|3:10:00-22:30|4:09:00-22:30|5:10:00-22:30|6:10:30-21:30
031357fd1a14,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
0313ce17921e,0:10:00-14:00|0:15:30-18:00|1:10:00-14:00|1:15:30-18:00|2:10:00-14:00|2:15:30-18:00|3:10:00-14:00|3:15:30-18:00|4:10:00-14:00|4:15:30-18:00
0315bd6eba56,0:07:00-22:00|1:07:00-22:00|2:07:00-22:00|3:07:00-22:00|4:07:00-22:00|5:07:00-22:00|6:07:00-22:00
0318a7ef858f,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
032302434192,0:11:00-23:30|1:11:00-23:30|2:11:00-23:30|3:11:00-23:30|4:11:00-23:30|5:11:00-23:30|6:11:00-23:30
03242a8022a2,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
03263bf01c84,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
032e800142bf,0:10:00-19:30|1:10:00-19:30|2:10:00-19:30|3:10:00-19:30|4:10:00-19:30|5:10:00-19:30|6:10:00-19:30
03302a64052b,0:09:00-19:00|1:09:00-19:00|2:09:00-19:00|3:09:00-19:00|4:09:00-19:00|5:09:00-19:00|6:09:00-19:00
03348bd57312,0:10:00-23:00|1:10:00-23:00|2:10:00-23:00|3:10:00-23:00|4:10:00-23:00|5:10:00-23:00|6:10:00-23:00
033685712a89,0:08:00-23:00|1:08:00-23:00|2:08:00-23:00|3:08:00-23:00|4:08:00-23:00|5:08:00-23:00|6:08:00-22:00
033f6defbbdf,0:10:00-22:00|1:10:00-22:00|2:10:00-22:00|3:10:00-22:00|4:10:00-22:00|5:10:00-22:00|6:10:00-22:00
0353cd67fe7a,0:08:00-22:00|1:08:00-22:00|2:08:00-22:00|3:08:00-22:00|4:08:00-22:00|5:08:00-22:00|6:08:00-22:00
0353d512a4c7,0:09:15-12:30|0:16:00-19:30|1:09:15-12:30|1:16:00-19:30|2:09:15-12:30|2:16:00-19:30|3:09:15-12:30|3:16:00-19:30|4:09:15-12:30|4:16:00-19:30|5:09:15-12:30
036283915b15,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
036566e983ef,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
036fc76781e4,0:09:00-18:00|1:09:00-18:00|2:09:00-18:00|3:09:00-18:00|4:09:00-18:00|5:10:00-14:00
0374689ae324,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
037646a4d0a8,0:08:30-20:30|1:08:30-20:30|2:08:30-20:30|3:08:30-20:30|4:08:30-20:30|5:08:30-20:30|6:08:30-20:30
03764ce3fef6,0:09:00-17:00|1:09:00-17:00|2:09:00-17:00|3:09:00-17:00|4:09:00-17:00|5:09:00-12:30
03790ca19672,0:09:00-13:00|0:16:00-19:00|1:09:00-13:00|1:16:00-19:00|2:09:00-13:00|2:16:00-19:00|3:09:00-13:00|3:16:00-19:00|4:09:00-13:00|5:09:00-13:00
03791e106102,0:07:00-23:00|1:07:00-23:00|2:07:00-23:00|3:07:00-23:00|4:07:00-23:00|5:07:00-23:00|6:07:00-23:00
0379d84893db,0:08:00-19:00|1:08:00-19:00|2:08:00-19:00|3:08:00-19:00|4:08:00-19:00|5:09:00-17:00|6:10:00-15:00
037c1c1dd18b,0:09:00-21:00|1:09:00-21:00|2:09:00-21:00|3:09:00-21:00|4:09:00-21:00|5:09:00-21:00|6:09:00-21:00
0386a94ad745,0:08:00-22:00|1:08:00-22:00|2:08:00-22:00|3:08:00-22:00|4:08:00-22:00|5:08:00-22:00|6:08:00-22:00
0386b5c6c67a,6:00:00-00:00
