name,type,country,city,details,coordinates,latitude,longitude,searches_within_500m,conversions_within_500m,conversion_rate,stashpoints_within_500m
Liverpool Central Station,Train Station,United Kingdom,Liverpool,,"53.4046466, -2.9800093",53.4046466,-2.9800093,1009,107,0.1060455897,5
Royal Court Theatre,Theatre,United Kingdom,Liverpool,,"53.4075009, -2.9813424",53.4075009,-2.9813424,924,93,0.1006493506,7
Liverpool Lime Street,Train Station,United Kingdom,Liverpool,,"53.4072339, -2.979737",53.4072339,-2.979737,913,91,0.09967141292,4
London Waterloo,Train Station,United Kingdom,London,,"51.5048541, -0.1136621",51.5048541,-0.1136621,867,88,0.1014994233,6
Queen Street Mall,City Center,Australia,Brisbane,"A pedestrian mall in the heart of Brisbane's central business district, featuring shopping, dining, and entertainment options.","-27.4696523, 153.0252416",-27.4696523,153.0252416,853,110,0.1289566237,13
Liverpool Empire Theatre,Theatre,United Kingdom,Liverpool,,"53.4088725, -2.9782846",53.4088725,-2.9782846,843,85,0.1008303677,3
10th Arrondissement,Neighbourhood,France,Paris,,"48.8785238, 2.3541085",48.8785238,2.3541085,837,85,0.1015531661,29
South Bank,City Center,United Kingdom,London,"A vibrant area along the River Thames, featuring cultural attractions, street performers, and scenic views of the city.","51.503728, -0.1116764",51.503728,-0.1116764,830,85,0.1024096386,9
Brisbane City Hall,Landmark,Australia,Brisbane,"A historic building in Brisbane, serving as the seat of the Brisbane City Council and a popular tourist attraction.","-27.4686893, 153.0238365",-27.4686893,153.0238365,830,108,0.1301204819,10
Gare de l'Est,Train Station,France,Paris,"A major train station in Paris, serving as a hub for regional and international routes.","48.8768146, 2.3591978",48.8768146,2.3591978,808,77,0.0952970297,29
The Old Vic,Theatre,United Kingdom,London,,"51.50205949999999, -0.1093125",51.5020595,-0.1093125,794,80,0.1007556675,13
Central Station,Train Station,Australia,Brisbane,"One of the busiest and most important train stations in Brisbane, serving as a major hub for regional and intercity trains.","-27.466224, 153.0261831",-27.466224,153.0261831,780,101,0.1294871795,7
The British Museum,Museum,United Kingdom,London,"One of the world's largest and most comprehensive museums, housing a vast collection of artifacts and specimens from around the world.","51.5194133, -0.1269566",51.5194133,-0.1269566,772,87,0.1126943005,15
National Theatre,Theatre,United Kingdom,London,,"51.5072194, -0.1143667",51.5072194,-0.1143667,765,77,0.1006535948,2
Abbey Theatre,Theatre,Ireland,Dublin,,"53.3483986, -6.257178199999999",53.3483986,-6.2571782,758,61,0.08047493404,11
Puerta del Sol,Landmark,Spain,Madrid,"A historic square in Madrid, considered the center of the city and a popular meeting spot.","40.4169473, -3.7035285",40.4169473,-3.7035285,741,46,0.0620782726,19
Barrio de los Austrias,Neighbourhood,Spain,Madrid,,"40.41672790000001, -3.7032905",40.4167279,-3.7032905,739,44,0.05953991881,17
Madrid Estación del Norte Bus Station,Bus Station,Spain,Madrid,"The main bus station in Madrid, serving national and international routes.","40.41672790000001, -3.7032905",40.4167279,-3.7032905,739,44,0.05953991881,17
,,Spain,Madrid,,"40.41672790000001, -3.7032905",40.4167279,-3.7032905,739,44,0.05953991881,17
,,Spain,Madrid,,"40.41672790000001, -3.7032905",40.4167279,-3.7032905,739,44,0.05953991881,17
,,Spain,Madrid,,"40.41672790000001, -3.7032905",40.4167279,-3.7032905,739,44,0.05953991881,17
Sol,Neighbourhood,Spain,Madrid,,"40.4166635, -3.7041687",40.4166635,-3.7041687,738,45,0.06097560976,21
Gare du Nord,Train Station,France,Paris,"The busiest train station in Europe, serving as a major hub for high-speed trains and international routes.","48.8809706, 2.3561432",48.8809706,2.3561432,712,69,0.09691011236,22
Centre Pompidou,Museum,France,Paris,"A renowned modern art museum in Paris, known for its unique architecture.","48.860642, 2.352245",48.860642,2.352245,684,43,0.06286549708,15
London Heathrow Airport (nearest major airport),Airport,United Kingdom,Oxford,,"51.4679903, -0.4550471",51.4679903,-0.4550471,676,18,0.02662721893,0
Heathrow Airport,Airport,United Kingdom,London,,"51.4679903, -0.4550471",51.4679903,-0.4550471,676,18,0.02662721893,0
Quartier Saint-Merri,Neighbourhood,France,Paris,,"48.8573399, 2.3515768",48.8573399,2.3515768,652,36,0.05521472393,10
Manchester Central Coach Station,Bus Station,United Kingdom,Manchester,"The primary bus station in Manchester, serving national and international routes.","53.4782336, -2.2370553",53.4782336,-2.2370553,649,87,0.1340523883,8
Théâtre du Châtelet,Theatre,France,Paris,,"48.8577285, 2.3463104",48.8577285,2.3463104,641,43,0.06708268331,13
London Bridge,Train Station,United Kingdom,London,,"51.5078788, -0.0877321",51.5078788,-0.0877321,605,68,0.1123966942,7
La Rambla,City Center,Spain,Barcelona,"A bustling pedestrian street in central Barcelona, popular with tourists and locals alike.","41.3856087, 2.1698166",41.3856087,2.1698166,547,32,0.05850091408,16
Birmingham Moor Street,Train Station,United Kingdom,Birmingham,,"52.4783117, -1.8922797",52.4783117,-1.8922797,543,41,0.07550644567,9
Teatro Calderón,Theatre,Spain,Madrid,,"40.4140434, -3.7035111",40.4140434,-3.7035111,540,35,0.06481481481,18
Quartier des Archives,Neighbourhood,France,Paris,,"48.8575475, 2.3513765",48.8575475,2.3513765,531,28,0.0527306968,10
Quartier Les Îles,Neighbourhood,France,Paris,,"48.8575475, 2.3513765",48.8575475,2.3513765,531,28,0.0527306968,10
Plaza Mayor,City Center,Spain,Madrid,"The main square in Madrid, a popular gathering place for tourists and locals.","40.415511, -3.7074009",40.415511,-3.7074009,529,30,0.05671077505,22
National Football Museum,Museum,United Kingdom,Manchester,"A must-visit for football fans, this museum in Manchester showcases the world's greatest collection of football memorabilia and interactive exhibits.","53.48592980000001, -2.2421548",53.4859298,-2.2421548,523,51,0.09751434034,4
Plaça de Catalunya,City Center,Spain,Barcelona,"The largest and most important square in Barcelona, often used as a meeting point.","41.3866298, 2.1693988",41.3866298,2.1693988,522,33,0.0632183908,11
Manchester Cathedral,Landmark,United Kingdom,Manchester,"A magnificent medieval church in Manchester, known for its stunning architecture, beautiful stained glass windows, and rich history.","53.4851459, -2.2443156",53.4851459,-2.2443156,519,50,0.09633911368,5
Manchester Piccadilly Station,Train Station,United Kingdom,Manchester,"The busiest train station in Manchester, connecting the city to major cities across the UK.","53.4774049, -2.2309113",53.4774049,-2.2309113,518,68,0.1312741313,4
Manchester Piccadilly,Train Station,United Kingdom,Manchester,,"53.4774049, -2.2309113",53.4774049,-2.2309113,518,68,0.1312741313,4
Buchanan Street,City Center,United Kingdom,Glasgow,"Another popular shopping street in Glasgow, known for its high-end stores and street performers.","55.8611595, -4.2538615",55.8611595,-4.2538615,509,58,0.1139489194,5
Teatro Español,Theatre,Spain,Madrid,,"40.4149459, -3.7001863",40.4149459,-3.7001863,507,34,0.06706114398,17
Manchester Victoria,Train Station,United Kingdom,Manchester,,"53.4871436, -2.2423747",53.4871436,-2.2423747,504,47,0.09325396825,3
Temple Quarter,Neighbourhood,United Kingdom,Bristol,,"51.4511846, -2.5815728",51.4511846,-2.5815728,490,57,0.1163265306,2
Bristol Temple Meads,Train Station,United Kingdom,Bristol,,"51.4496963, -2.5810577",51.4496963,-2.5810577,487,56,0.1149897331,1
The Dings,Neighbourhood,United Kingdom,Bristol,,"51.4513646, -2.577395",51.4513646,-2.577395,472,54,0.1144067797,0
Birmingham Hippodrome,Theatre,United Kingdom,Birmingham,,"52.4745701, -1.8974403",52.4745701,-1.8974403,469,37,0.078891258,5
Rome Termini Station,Train Station,Italy,Rome,"The main train station in Rome, serving high-speed trains, regional trains, and buses.","41.9012873, 12.5015756",41.9012873,12.5015756,468,44,0.09401709402,19
Roma Termini Station,,Italy,Rome,,"41.9012873, 12.5015756",41.9012873,12.5015756,468,44,0.09401709402,19
Birmingham New Street,Train Station,United Kingdom,Birmingham,,"52.4791387, -1.898537",52.4791387,-1.898537,465,38,0.08172043011,9
Manchester Arena,Stadium,United Kingdom,Manchester,"One of the busiest concert and entertainment venues in the world, the Manchester Arena has hosted some of the biggest names in music and live events.","53.4880988, -2.2436621",53.4880988,-2.2436621,462,42,0.09090909091,2
Termini Train Station,Train Station,Italy,Rome,"The main train station in central Rome, serving both regional and high-speed trains.","41.8984211, 12.5042227",41.8984211,12.5042227,461,45,0.09761388286,15
Teatro Lara,Theatre,Spain,Madrid,,"40.4221091, -3.704466799999999",40.4221091,-3.7044668,448,29,0.06473214286,20
Basilica di Santa Maria Maggiore,Landmark,Italy,Rome,One of the largest churches in Rome and one of the four major basilicas of the city.,"41.89759859999999, 12.4984084",41.8975986,12.4984084,445,43,0.09662921348,18
Madison Square Garden,Stadium,United States,New York,,"40.7505045, -73.9934387",40.7505045,-73.9934387,435,45,0.1034482759,10
Penn Station,Train Station,United States,New York,,"40.750568, -73.993519",40.750568,-73.993519,434,45,0.1036866359,10
University of Glasgow,Landmark,Scotland,Glasgow,"One of the oldest and most prestigious universities in the world, known for its stunning architecture.","55.86167039999999, -4.2583345",55.8616704,-4.2583345,434,51,0.1175115207,6
NY Penn Station,,United States,New York,,"40.750568, -73.993519",40.750568,-73.993519,434,45,0.1036866359,10
Fitzbillies,Landmark,United Kingdom,Cambridge,"A beloved bakery and cafe in Cambridge, famous for its Chelsea buns.","52.1950788, 0.1312729",52.1950788,0.1312729,417,83,0.1990407674,1
Cambridge Railway Station,Train Station,United Kingdom,Cambridge,The busiest and most important railway station in Cambridge.,"52.1942193, 0.1374478",52.1942193,0.1374478,415,82,0.1975903614,1
Glasgow Queen Street Station,Train Station,United Kingdom,Glasgow,,"55.8622865, -4.251094699999999",55.8622865,-4.2510947,407,45,0.1105651106,5
Tower of London,Landmark,United Kingdom,London,"A historic castle and UNESCO World Heritage Site, known for its role as a prison and execution site.","51.50811239999999, -0.0759493",51.5081124,-0.0759493,406,46,0.1133004926,2
The Glasgow Royal Concert Hall,Theatre,United Kingdom,Glasgow,"A popular venue for classical music concerts, with a capacity of over 2,500 people.","55.86436149999999, -4.252901899999999",55.8643615,-4.2529019,398,44,0.1105527638,4
Temple Bar,Neighbourhood,Ireland,Dublin,,"53.3449379, -6.267473100000001",53.3449379,-6.2674731,386,38,0.09844559585,9
The Lighthouse,Landmark,United Kingdom,Glasgow,"Scotland's Centre for Design and Architecture, housed in a former newspaper office designed by Charles Rennie Mackintosh.","55.85978859999999, -4.255383699999999",55.8597886,-4.2553837,370,44,0.1189189189,4
Great Ocean Road,Tourist Attraction,Australia,Melbourne,"A scenic coastal road stretching for 243 kilometres, offering breathtaking views of the coastline and numerous natural attractions and small towns.","-37.8136276, 144.9630576",-37.8136276,144.9630576,369,16,0.0433604336,8
Edinburgh Airport,Airport,United Kingdom,Edinburgh,,"55.94717840000001, -3.3607946",55.9471784,-3.3607946,358,18,0.05027932961,1
Milano Centrale,Train Station,Italy,Milan,,"45.4839709, 9.2060969",45.4839709,9.2060969,350,16,0.04571428571,9
Melbourne Central,Landmark,Australia,Melbourne,"A major shopping centre and transportation hub, featuring a distinctive shot tower and hosting various events and performances.","-37.8102361, 144.9627652",-37.8102361,144.9627652,348,18,0.05172413793,6
Royal Exchange,Neighbourhood,Ireland,Dublin,,"53.34404809999999, -6.267214399999999",53.3440481,-6.2672144,347,35,0.1008645533,10
Malpensa Airport,Airport,Italy,Milan,,"45.4870904, 9.2035697",45.4870904,9.2035697,347,16,0.04610951009,9
Malasaña,Neighbourhood,Spain,Madrid,"A vibrant and trendy neighbourhood in Madrid, known for its lively nightlife and street art.","40.4233716, -3.7077922",40.4233716,-3.7077922,345,23,0.06666666667,16
Universidad,Neighbourhood,Spain,Madrid,,"40.4233716, -3.7077922",40.4233716,-3.7077922,345,23,0.06666666667,16
North City,Neighbourhood,Ireland,Dublin,,"53.3495405, -6.260478699999999",53.3495405,-6.2604787,341,31,0.09090909091,11
Teatro Lope de Vega,Theatre,Spain,Madrid,,"40.4218277, -3.7087124",40.4218277,-3.7087124,341,20,0.05865102639,20
Port Authority Bus Terminal,,United States,New York,,"40.7569006, -73.9902798",40.7569006,-73.9902798,341,31,0.09090909091,12
State Library Victoria,Museum,Australia,Melbourne,"A historic library with a diverse collection of books, manuscripts, and cultural artifacts.","-37.8097255, 144.9654504",-37.8097255,144.9654504,340,17,0.05,4
Melbourne Central Station,Train Station,Australia,Melbourne,"A major train station with a distinctive dome, serving regional and suburban trains.","-37.8116182, 144.964609",-37.8116182,144.964609,335,16,0.04776119403,7
Bath Spa Station,Train Station,United Kingdom,Bath,,"51.37773300000001, -2.356989",51.377733,-2.356989,334,39,0.1167664671,8
Wien Hauptbahnhof,,Austria,Vienna,,"48.1851873, 16.3765973",48.1851873,16.3765973,333,22,0.06606606607,6
Hauptbahnhof area,Neighbourhood,Austria,Vienna,,"48.1851873, 16.3765973",48.1851873,16.3765973,333,22,0.06606606607,6
Vienna Central Station,Train Station,Austria,Vienna,"The main railway station in Vienna, serving as a major hub for national and international train routes.","48.1851873, 16.3765973",48.1851873,16.3765973,333,22,0.06606606607,6
Wien Hauptbahnhof,Train Station,Austria,Vienna,,"48.1851873, 16.3765973",48.1851873,16.3765973,333,22,0.06606606607,6
Cambridge University Botanic Garden,Landmark,United Kingdom,Cambridge,"A beautiful and historic botanical garden with over 8,000 plant species.","52.1936373, 0.1273479",52.1936373,0.1273479,325,45,0.1384615385,0
Grand Opera House,Theatre,United Kingdom,Belfast,,"54.5953221, -5.9352246",54.5953221,-5.9352246,311,38,0.1221864952,4
Sants Estació,Train Station,Spain,Barcelona,"The main railway station in Barcelona and the second busiest in Spain, serving both high-speed and regional trains.","41.37896, 2.13983",41.37896,2.13983,304,23,0.07565789474,8
Brisbane Transit Centre,Bus Station,Australia,Brisbane,"A major bus station in Brisbane, serving as a hub for local, regional, and interstate bus services.","-27.4659174, 153.0174252",-27.4659174,153.0174252,301,13,0.04318936877,3
Glasgow Royal Concert Hall,Theatre,Scotland,Glasgow,A popular concert venue that hosts a wide variety of musical and cultural performances.,"55.86428799999999, -4.251657000000001",55.864288,-4.251657,301,30,0.09966777409,4
Haymarket,Train Station,United Kingdom,Edinburgh,,"55.9460913, -3.2168546",55.9460913,-3.2168546,296,37,0.125,13
Buchanan Bus Station,Bus Station,United Kingdom,Glasgow,"The main bus station in Glasgow, serving both local and national routes.","55.8649724, -4.250782399999999",55.8649724,-4.2507824,294,30,0.1020408163,3
Buchanan Bus Station,Bus Station,Scotland,Glasgow,"The main bus station in Glasgow, serving national and international routes.","55.8649724, -4.250782399999999",55.8649724,-4.2507824,294,30,0.1020408163,3
Leonardo da Vinci–Fiumicino Airport,,Italy,Rome,,"41.8034632, 12.2519211",41.8034632,12.2519211,291,2,0.006872852234,0
Fiumicino Aeroporto Train Station,Train Station,Italy,Rome,The main train station serving the airport and connecting to central Rome.,"41.8034632, 12.2519211",41.8034632,12.2519211,291,2,0.006872852234,0
Leonardo da Vinci International Airport,Airport,Italy,Rome,The main international airport serving Rome.,"41.8034632, 12.2519211",41.8034632,12.2519211,291,2,0.006872852234,0
York Station,Train Station,United Kingdom,York,,"53.957981, -1.093191",53.957981,-1.093191,284,28,0.0985915493,4
Camden Market,City Center,United Kingdom,London,"A popular market in the Camden Town neighborhood, offering a variety of unique and eclectic goods and food.","51.5390261, -0.1425516",51.5390261,-0.1425516,284,32,0.1126760563,10
Emirates Stadium,Stadium,United Kingdom,London,,"51.5550821, -0.1083998",51.5550821,-0.1083998,283,37,0.1307420495,3
Newcastle Central Station,Train Station,United Kingdom,Gateshead,,"54.9684999, -1.6170742",54.9684999,-1.6170742,283,31,0.109540636,11
Trevi Fountain,,Italy,Rome,,"41.9009325, 12.483313",41.9009325,12.483313,282,11,0.0390070922,7
Trevi Fountain,Landmark,Italy,Rome,"A popular and iconic fountain in Rome, known for its stunning design and tradition of throwing coins for good luck.","41.9009325, 12.483313",41.9009325,12.483313,282,11,0.0390070922,7
Glasgow City Chambers,City Center,United Kingdom,Glasgow,The headquarters of Glasgow City Council and a popular tourist attraction for its grand architecture.,"55.8607454, -4.2593577",55.8607454,-4.2593577,281,31,0.1103202847,5
Glasgow City Chambers,Landmark,Scotland,Glasgow,The headquarters of Glasgow City Council and a grand example of Victorian architecture.,"55.8607454, -4.2593577",55.8607454,-4.2593577,281,31,0.1103202847,5
Glasgow Central Station,Train Station,United Kingdom,Glasgow,,"55.8591118, -4.2581088",55.8591118,-4.2581088,272,32,0.1176470588,4
Glasgow Central Station,Train Station,United Kingdom,Glasgow,"The busiest train station in Scotland, serving both local and national routes.","55.8591118, -4.2581088",55.8591118,-4.2581088,272,32,0.1176470588,4
St. Paul's Cathedral,Landmark,United Kingdom,London,"An iconic church and one of London's most recognizable landmarks, known for its dome and architectural beauty.","51.5138453, -0.0983506",51.5138453,-0.0983506,271,34,0.1254612546,5
Royal Albert Hall,Theatre,United Kingdom,London,,"51.5009088, -0.177366",51.5009088,-0.177366,271,28,0.1033210332,3
Central Bus Station,Bus Station,Australia,Sydney,"The main bus station in Sydney, serving both local and interstate buses.","-33.8622503, 151.207684",-33.8622503,151.207684,271,33,0.1217712177,5
Notre-Dame de Paris,Landmark,France,Paris,"A Gothic cathedral in Paris, known for its stunning architecture and cultural significance.","48.85296820000001, 2.3499021",48.8529682,2.3499021,268,27,0.1007462687,3
Quartier Les Halles,Neighbourhood,France,Paris,,"48.8623348, 2.3447356",48.8623348,2.3447356,268,33,0.1231343284,15
The Rocks,Neighbourhood,Australia,Sydney,"A historic area with cobblestone streets, colonial architecture, and popular markets and restaurants.","-33.859062, 151.2080421",-33.859062,151.2080421,266,34,0.1278195489,2
Melbourne Town Hall,Landmark,Australia,Melbourne,"A majestic building in the city centre, featuring Victorian architecture and hosting various events and exhibitions throughout the year.","-37.8150856, 144.9665653",-37.8150856,144.9665653,265,11,0.04150943396,3
Sistine Chapel,Landmark,Italy,Rome,"The most famous chapel in the Apostolic Palace, known for its stunning frescoes by Michelangelo.","41.8967068, 12.4822025",41.8967068,12.4822025,265,9,0.03396226415,8
Circular Quay Station,Train Station,Australia,Sydney,,"-33.86116510000001, 151.210709",-33.8611651,151.210709,260,31,0.1192307692,5
National Railway Museum,Museum,United Kingdom,York,,"53.96054669999999, -1.096366",53.9605467,-1.096366,260,23,0.08846153846,0
Pantheon,Landmark,Italy,Rome,"A well-preserved ancient Roman temple, now used as a church.","41.8986108, 12.4768729",41.8986108,12.4768729,259,10,0.03861003861,13
Pantheon,,Italy,Rome,,"41.8986108, 12.4768729",41.8986108,12.4768729,259,10,0.03861003861,13
Times Square Fan Zone,,United States,New York,,"40.7579747, -73.9855426",40.7579747,-73.9855426,259,25,0.09652509653,6
Atocha Railway Station,Train Station,Spain,Madrid,"The largest and busiest train station in Madrid, serving high-speed and regional trains.","40.4050017, -3.688328099999999",40.4050017,-3.6883281,256,13,0.05078125,10
Madrid Atocha Railway Station,Train Station,Spain,Madrid,The largest railway station in Madrid and the primary hub for high-speed trains.,"40.4049977, -3.6883272",40.4049977,-3.6883272,256,13,0.05078125,10
Manchester Art Gallery,Museum,United Kingdom,Manchester,"A public art gallery in Manchester, housing an extensive collection of paintings, sculptures, and decorative art from the 19th century to the present day.","53.4786943, -2.2413604",53.4786943,-2.2413604,254,33,0.1299212598,10
Central Station,Train Station,Australia,Sydney,"The largest and busiest railway station in New South Wales, serving both regional and metropolitan trains.","-33.8831733, 151.2069512",-33.8831733,151.2069512,252,16,0.06349206349,7
Sydney Central Station,Train Station,Australia,Sydney,,"-33.8831733, 151.2069512",-33.8831733,151.2069512,252,16,0.06349206349,7
George Square,City Center,Scotland,Glasgow,"The principal civic square in Glasgow, surrounded by important buildings and monuments.","55.8611637, -4.2501651",55.8611637,-4.2501651,250,27,0.108,4
George Square,City Center,United Kingdom,Glasgow,"The principal civic square in Glasgow, with statues, monuments, and a popular spot for events and rallies.","55.8611637, -4.2501651",55.8611637,-4.2501651,250,27,0.108,4
Farringdon,Train Station,United Kingdom,London,,"51.5215324, -0.1042414",51.5215324,-0.1042414,250,25,0.1,6
Circular Quay,City Center,Australia,Sydney,"A popular gathering place in Sydney, known for its ferry terminals and iconic views of the Sydney Opera House and Harbour Bridge.","-33.8611374, 151.2126457",-33.8611374,151.2126457,250,30,0.12,3
Chinatown,Landmark,Australia,Melbourne,"A vibrant neighborhood with a variety of Chinese restaurants, shops, and cultural events.","-37.812006, 144.9668036",-37.812006,144.9668036,249,9,0.03614457831,4
Barri Gòtic,Landmark,Spain,Barcelona,"The oldest and most historic district of Barcelona, featuring Gothic architecture and narrow streets.","41.3819247, 2.1773052",41.3819247,2.1773052,249,12,0.04819277108,19
Piccolo Teatro,Theatre,Italy,Milan,,"45.4666535, 9.184752",45.4666535,9.184752,248,14,0.0564516129,1
Palau de la Música Catalana,Theatre,Spain,Barcelona,,"41.3875752, 2.1753128",41.3875752,2.1753128,247,18,0.07287449393,9
Principality Stadium,Stadium,United Kingdom,Cardiff,,"51.4782085, -3.1826341",51.4782085,-3.1826341,244,26,0.106557377,11
Quartier Saint‑Germain‑l'Auxerrois,Neighbourhood,France,Paris,,"48.86156159999999, 2.3337187",48.8615616,2.3337187,242,19,0.07851239669,1
Broadway Theatre District,Theatre,United States,New York,,"40.759011, -73.9844722",40.759011,-73.9844722,242,21,0.0867768595,6
Casco Viejo,City Center,Panama,Panama City,"A historic district in Panama City, known for its colonial architecture and vibrant atmosphere.","8.9531326, -79.5357556",8.9531326,-79.5357556,241,28,0.1161825726,4
Louvre Museum,Museum,France,Paris,"One of the most famous museums in the world, housing a vast collection of art and artifacts.","48.8606111, 2.337644",48.8606111,2.337644,238,25,0.1050420168,7
Museo del Canal Interoceanico de Panama,Museum,Panama,Panama City,A museum in Panama City dedicated to the history and construction of the Panama Canal.,"8.9520241, -79.5346975",8.9520241,-79.5346975,236,27,0.1144067797,4
Plaza de la Independencia,Landmark,Panama,Panama City,"The main square in Panama City, surrounded by important government buildings and hosting various events and celebrations.","8.9525047, -79.5346138",8.9525047,-79.5346138,236,27,0.1144067797,4
Prague Main Railway Station (Praha hlavní nádraží),,Czech Republic,Prague,,"50.083273, 14.4347349",50.083273,14.4347349,235,6,0.02553191489,2
Big Ben,Landmark,United Kingdom,London,"The famous clock tower and bell of the Palace of Westminster, a symbol of London and the United Kingdom.","51.50072919999999, -0.1246254",51.5007292,-0.1246254,232,30,0.1293103448,2
The Palace Theatre,Theatre,United Kingdom,Manchester,"A historic theatre in Manchester, known for hosting a variety of performances including musicals, plays, and concerts.","53.4749948, -2.2409776",53.4749948,-2.2409776,230,26,0.1130434783,6
Gatwick Airport,Airport,United Kingdom,London,,"51.1536621, -0.1820629",51.1536621,-0.1820629,230,7,0.03043478261,0
Quartier de la Chaussée-d'Antin,Neighbourhood,France,Paris,,"48.8728752, 2.3303724",48.8728752,2.3303724,224,22,0.09821428571,6
Northern Quarter,City Center,United Kingdom,Manchester,"A hip and creative area in Manchester, home to independent shops, cafes, bars, and street art.","53.4825488, -2.234479",53.4825488,-2.234479,220,33,0.15,6
Festival Theatre,Theatre,United Kingdom,Edinburgh,,"55.9467678, -3.1859523",55.9467678,-3.1859523,215,20,0.09302325581,11
Changi Airport,Airport,Singapore,Singapore,,"1.358604, 103.9899436",1.358604,103.9899436,213,7,0.03286384977,3
Chinatown,City Center,United Kingdom,Manchester,"A bustling district in Manchester, known for its vibrant Chinese community, authentic restaurants, and annual Chinese New Year celebrations.","53.478707, -2.240676",53.478707,-2.240676,213,32,0.1502347418,10
Cardiff Central Station,Train Station,United Kingdom,Cardiff,,"51.4759636, -3.1790303",51.4759636,-3.1790303,212,21,0.09905660377,6
Palais Garnier,Theatre,France,Paris,"A historic opera house in Paris, known for its grand architecture and performances.","48.8719697, 2.3316014",48.8719697,2.3316014,212,23,0.108490566,6
Connolly / North Dock,Neighbourhood,Ireland,Dublin,,"53.3509114, -6.2499819",53.3509114,-6.2499819,212,18,0.08490566038,7
Venezia Santa Lucia,Train Station,Italy,Venice,,"45.4410697, 12.3210436",45.4410697,12.3210436,211,5,0.02369668246,6
Reina Sofía National Museum,Museum,Spain,Madrid,"A modern art museum in Madrid, known for its impressive collection of contemporary works.","40.4079123, -3.6945569",40.4079123,-3.6945569,210,11,0.05238095238,11
Reina Sofía Museum,Museum,Spain,Madrid,"A modern art museum in Madrid, known for its collection of 20th-century Spanish art.","40.4079123, -3.6945569",40.4079123,-3.6945569,210,11,0.05238095238,11
Galeries Lafayette,City Center,France,Paris,"A famous department store in Paris, known for its elegant architecture and luxury brands.","48.8736224, 2.3321099",48.8736224,2.3321099,208,19,0.09134615385,5
Teatro alla Scala,Theatre,Italy,Milan,,"45.4674021, 9.1895512",45.4674021,9.1895512,207,15,0.07246376812,3
