stashpoint_id,paid_bookings,total_revenue_gbp,net_revenue_gbp,bookings_30d,revenue_30d_gbp,bookings_90d,revenue_90d_gbp,avg_bags,cancelled
00f335eee8e7,146,2249.63,1496.18,10,124.40,21,282.48,2.4,5
010123adc8f9,369,4788.21,2884.36,1,12.63,16,216.11,2.3,21
010216a1973a,207,2453.17,1849.90,115,1280.86,207,2453.17,1.2,60
010496895705,6,103.01,66.20,0,0,0,0,1.7,1
0111fb97b48e,20,300.88,190.56,0,0,0,0,2.6,1
0117473768e7,1962,24617.84,13782.89,23,302.36,64,840.66,1.9,87
0128b81879b9,1,5.65,3.56,0,0,0,0,1.0,3
0128f0e7c80f,20,335.37,227.45,7,92.65,12,156.49,3.3,0
012c133a0c7a,1366,15729.30,7973.00,0,0,0,0,2.0,70
013182b888dc,70,1105.62,719.07,9,133.82,24,317.99,2.9,0
0132c0afef67,180,2593.76,1353.59,0,0,0,0,2.7,10
013ad0ead259,4,40.62,25.32,0,0,0,0,1.8,8
013b161b985e,319,5448.49,3546.40,8,141.38,27,479.45,2.6,14
013dcbd61ed4,2,13.44,6.73,0,0,0,0,1.5,0
0140efb24584,702,11177.54,6365.79,10,231.86,22,452.40,2.6,25
01454057776b,5,72.00,37.80,0,0,0,0,2.4,0
01739ef50ac5,1,5.00,3.75,0,0,0,0,1.0,0
0176e7eca1c2,5,42.43,33.91,0,0,0,0,1.6,1
017f86c84b22,13,134.04,78.89,0,0,0,0,1.8,6
018c439e1ccf,5,133.65,81.83,1,28.58,1,28.58,6.2,1
018f828718f8,9,81.21,40.63,0,0,0,0,2.1,0
0190e1df1ec3,1,25.39,17.06,0,0,1,25.39,6.0,0
019495175ebe,27,446.67,287.32,3,64.00,4,75.32,2.9,3
0196da997eb1,85,1533.64,929.47,0,0,0,0,3.3,12
019714cafc92,0,0,0,0,0,0,0,0,2
01a1f2ee93d3,485,10244.13,7051.00,14,223.76,28,432.04,3.2,67
01a3338eb54d,4,22.29,17.11,2,12.96,2,12.96,1.5,1
01bbb1f2e778,52,646.88,408.35,2,19.82,2,19.82,2.2,9
01c072e4fec1,0,0,0,0,0,0,0,0,2
01cd3e7f69c4,5,70.97,45.52,1,21.52,5,70.97,2.6,0
01cdc5211d4a,3,27.01,16.41,0,0,0,0,1.7,1
01ce7f16a313,6,45.51,26.51,0,0,0,0,1.5,0
01dfbd7c8b91,16,439.43,127.54,0,0,0,0,2.0,5
01e1c44e4a37,91,796.75,474.94,3,32.47,13,119.07,2.2,5
0209a4d064c8,1,3.54,2.68,0,0,0,0,1.0,1
020cc645a0ba,31,393.80,206.90,0,0,3,49.64,1.9,2
023b36d96254,3,10.14,7.55,0,0,3,10.14,1.0,0
0258dece3a9c,4144,59943.07,32158.75,110,1481.58,286,3747.36,1.7,194
025aeeab732a,14,210.00,127.85,1,0.00,8,124.32,2.9,0
025e07b43d7a,564,6404.70,3373.00,0,0,0,0,1.8,31
025ebd716d9a,19,509.28,177.44,0,0,0,0,1.9,2
028b530b076d,2,16.83,12.10,0,0,0,0,1.5,1
028cafcbac55,6,68.00,42.32,1,12.39,3,46.38,2.3,0
029bd72b2d55,5,44.93,28.45,2,18.30,5,44.93,1.6,1
029c5612788d,111,1387.34,672.54,0,0,0,0,2.3,7
02a05e321ae3,4,30.70,17.94,0,0,0,0,1.5,0
02bcdf982497,0,0,0,0,0,0,0,0,1
02c3845fd792,5,40.08,25.08,0,0,0,0,1.2,4
02d216af8025,70,898.66,605.47,9,97.41,19,207.84,2.3,1
02d264164e40,25,268.24,171.36,0,0,0,0,1.9,2
02da47341216,13,205.45,164.18,0,0,0,0,1.1,1
02ed1c013be9,0,0,0,0,0,0,0,0,0
02edd32146b4,85,1292.83,690.40,3,50.81,5,67.64,2.9,3
02f07b6634df,2,41.20,29.61,0,0,0,0,3.0,5
02f7bae17e5c,3,38.23,24.14,0,0,0,0,2.7,1
02f7d7826111,315,2842.20,1492.35,12,84.84,29,235.64,1.4,14
030188356f2e,3,17.36,8.80,0,0,0,0,1.3,1
0311f22f593d,466,6970.35,4528.91,33,506.94,96,1396.72,2.8,20
031357fd1a14,1,6.68,4.18,0,0,0,0,1.0,0
0313ce17921e,7,72.40,44.51,0,0,0,0,1.9,7
0315bd6eba56,30,282.00,167.00,0,0,0,0,1.5,1
032302434192,16,209.36,138.26,2,25.92,5,81.12,2.4,4
032e800142bf,1,5.65,3.56,0,0,0,0,1.0,0
03302a64052b,1,20.93,14.76,0,0,0,0,3.0,2
03348bd57312,14,180.63,114.01,6,64.74,10,114.75,2.5,0
033685712a89,50,426.97,278.23,18,116.39,35,244.26,1.5,4
033f6defbbdf,27,489.89,315.55,0,0,0,0,2.1,11
0353cd67fe7a,2,11.41,7.19,0,0,0,0,1.0,2
03790ca19672,12,183.72,114.99,0,0,0,0,2.6,4
03791e106102,110,1892.58,1272.12,7,88.61,23,318.39,3.0,5
0379d84893db,348,4681.47,3042.95,10,89.81,10,89.81,2.2,31
0386a94ad745,37,509.13,324.85,1,26.31,3,52.94,2.4,1
0386b5c6c67a,6,50.13,34.35,0,0,1,9.51,1.7,1
03873019f201,6,85.56,44.88,0,0,0,0,3.2,3
038b0627b372,2,10.74,6.79,0,0,0,0,1.0,5
03941d889ed4,33,499.82,303.76,0,0,0,0,2.7,6
039bab01994e,13,67.95,54.34,0,0,1,8.66,1.2,3
03ac3bbd9832,59,1135.17,648.58,0,0,0,0,3.6,3
03ac8544a262,46,949.60,629.50,0,0,0,0,1.9,9
03b29366f9d3,2,20.04,12.54,0,0,0,0,1.5,0
03bcdd6e1076,8,131.45,80.52,0,0,0,0,2.5,7
03d50554ce1d,12,128.49,69.91,0,0,0,0,2.0,3
03d5a3ce2412,9,156.26,104.96,3,94.32,9,156.26,3.0,2
03f2e0d38426,78,957.02,633.68,1,9.72,14,162.64,2.2,5
03f79c986718,3,23.41,14.73,0,0,0,0,1.3,2
0400996bff45,6,94.16,55.75,0,0,0,0,2.0,3
040288e2f5dc,8,94.75,62.82,0,0,1,21.61,2.4,0
040ff76119e6,32,692.95,440.84,0,0,1,8.91,1.6,1
0412b2fde057,1,0.00,-2.16,0,0,0,0,1.0,5
0414fa6d9914,47,880.31,564.53,0,0,0,0,2.3,12
041b4745a309,5,113.95,68.85,0,0,0,0,2.2,4
04242f906e02,28,607.10,369.94,0,0,0,0,3.4,7
0436b96c6f56,1792,23265.19,13625.19,99,1173.45,278,3256.42,2.0,87
043809df5e23,1,49.43,34.88,0,0,0,0,1.0,0
043828147ad8,0,0,0,0,0,0,0,0,1
0438cb792c7e,1060,16451.07,10393.19,28,563.05,83,1386.61,2.3,31
043d7b62f262,37,432.92,289.12,1,4.85,5,69.13,2.0,0
044d5f98d4b2,24,366.49,251.39,0,0,5,40.49,1.6,7
044f222d2c93,1,30.89,15.44,0,0,0,0,5.0,3
044f33a31891,2,37.62,22.78,0,0,0,0,3.0,0
045199a74ae5,1011,10861.20,5713.51,39,365.51,124,1209.42,1.6,30
045535c79a7e,6,51.07,-49.75,0,0,0,0,1.8,0
04575f5ce651,120,1273.76,571.03,0,0,0,0,2.4,10
045af1e3dfb5,8,133.89,81.64,0,0,0,0,3.0,5
045e9d348255,5,51.26,32.29,0,0,0,0,1.8,2
046ff4501972,2,22.04,11.03,0,0,0,0,2.5,0
04722ec09340,22,479.12,315.89,0,0,2,30.43,3.1,1
047a8108abad,6,78.81,50.52,2,27.34,5,73.06,3.0,0
048401b34773,31,330.23,263.83,2,34.49,2,34.49,2.2,6
048cb3cfba4a,529,6071.79,3171.30,28,305.45,92,904.53,1.7,29
048ff6e52a93,3,35.85,22.89,0,0,0,0,2.0,2
0490e4c42900,0,0,0,0,0,0,0,0,1
04965309dd48,3,26.42,17.57,1,5.58,1,5.58,1.3,2
049db1a2b549,9,132.76,102.62,0,0,0,0,1.2,0
04a244849196,2,56.51,38.05,0,0,0,0,2.0,0
04afd34fec78,155,1895.51,983.33,4,66.00,9,102.58,1.9,10
04bad719ccef,1,33.13,17.19,0,0,0,0,7.0,0
04bc0383930f,0,0,0,0,0,0,0,0,3
04bdfc7ef69f,8,72.12,57.39,1,8.61,1,8.61,1.8,0
04c024529e18,1,4.73,2.47,0,0,0,0,1.0,3
04daf33189f4,0,0,0,0,0,0,0,0,0
04e3dbcf113b,12,262.59,170.80,0,0,0,0,2.8,3
04e822f65343,1,13.96,7.36,0,0,0,0,2.0,0
04ee600f0a1e,44,641.70,421.69,2,31.80,5,57.02,2.3,14
04f8da862e98,0,0,0,0,0,0,0,0,1
04fa8645d786,10,156.19,87.43,0,0,0,0,2.1,2
04fa88873aa5,60,1353.99,919.13,0,0,0,0,3.0,5
04fb7d99a77b,1,20.58,10.29,0,0,0,0,4.0,0
05054bac75fc,125,2134.98,1373.15,3,37.48,5,90.42,3.0,33
050872beb55c,23,297.60,171.84,7,71.69,11,108.14,2.7,6
051276ee07c9,15,198.12,126.92,0,0,0,0,2.5,0
05245d48c915,0,0,0,0,0,0,0,0,1
0530cd993707,2,33.78,23.56,2,33.78,2,33.78,3.5,0
0546063abadd,10,144.34,92.67,0,0,1,13.26,2.6,0
055085908720,2,17.13,10.78,0,0,0,0,1.5,2
0567e1ef64d2,872,10470.30,5430.15,22,210.31,85,1341.20,1.7,39
0574ffe8cca2,22,189.31,91.72,0,0,0,0,1.9,1
0579b2013d3f,3,41.69,28.50,3,41.69,3,41.69,3.0,1
057e2251f6b7,1,12.12,7.70,0,0,0,0,2.0,2
0582983eafa2,99,1361.60,760.05,0,0,0,0,1.9,7
0584454566cc,0,0,0,0,0,0,0,0,9
05857ab9fbd9,16,280.40,178.33,8,116.91,16,280.40,3.5,0
059b729ab7f4,1,5.85,3.72,0,0,0,0,1.0,0
05ab4a4bd0f9,12,136.98,90.54,3,30.22,6,61.76,2.2,0
05baaa442f09,46,848.22,457.79,2,36.00,3,87.04,1.6,5
05bc4fcbe476,57,800.73,583.76,3,30.80,5,42.10,2.2,5
05c082402b0e,51,2105.20,1476.05,1,12.69,2,23.46,2.0,15
05e2162e1f94,171,2639.87,1553.43,4,56.57,5,62.19,2.8,11
05e8b8b1b2f7,144,1404.36,727.01,17,130.96,31,278.86,1.6,4
05edae742743,1,6.60,4.30,0,0,1,6.60,1.0,0
05efda024b15,2,10.56,6.51,0,0,1,4.80,1.0,0
05f457bef7f0,1,18.07,9.04,0,0,0,0,4.0,1
05f7609a700f,68,834.29,536.46,4,45.33,10,134.86,2.4,8
05f96fde5902,14,157.03,124.80,0,0,0,0,1.5,2
05fb1edc1896,281,3916.75,2497.60,0,0,15,157.30,2.3,23
05ff7eb2ae0b,1,3.04,2.17,0,0,0,0,1.0,0
06092c704881,10,93.69,47.90,0,0,0,0,2.0,0
0613fc72a3dd,4,41.89,28.09,0,0,1,4.83,2.5,2
06163aa51da5,1,12.70,10.15,0,0,0,0,3.0,0
06172b70a79a,0,0,0,0,0,0,0,0,4
061d8886ab91,1082,15138.27,9476.52,0,0,0,0,2.0,93
062c3583e375,3,54.22,40.23,2,40.36,2,40.36,2.7,3
062d11e7a6a7,0,0,0,0,0,0,0,0,1
06321cf77bee,7,63.77,50.97,1,34.39,1,34.39,1.3,0
0633754b0f6e,45,535.83,340.88,0,0,2,20.64,1.8,9
0637d4fca350,886,25079.60,14210.72,49,1317.37,133,3563.16,2.5,95
06389cf4961b,1,15.10,9.35,0,0,1,15.10,3.0,6
063a8f145660,2,57.52,37.48,0,0,0,0,1.0,1
063ea10b35b9,11,159.19,91.61,0,0,0,0,2.1,0
06495ea9b41b,54,641.45,337.06,0,0,0,0,2.5,13
064aa05ad7a6,2239,31930.88,16322.50,22,425.99,68,1133.29,2.1,73
064d2de2f76d,1,0.00,-1.93,0,0,0,0,1.0,0
064f9050b38d,104,1170.73,619.41,4,42.86,9,108.96,1.7,1
065465071b23,8,138.41,89.85,0,0,0,0,1.8,1
065b86db4675,7,112.39,70.10,0,0,0,0,2.9,1
066127e2f8b0,1,30.15,19.79,1,30.15,1,30.15,5.0,0
0669d75cff1a,364,4904.83,3245.98,26,361.66,56,656.33,2.0,16
066ae6739691,296,7371.05,4306.36,12,497.50,39,1212.42,2.5,8
06800d5bec60,4,35.10,24.14,4,35.10,4,35.10,1.8,0
0689bbeb2c0d,172,2256.76,1342.93,2,5.59,9,95.94,2.5,8
069147dff7a3,5,107.61,73.83,0,0,2,22.85,2.0,0
06928f64f0f6,1,11.38,7.49,0,0,0,0,1.0,0
0693b5d4af1b,4351,65505.01,33781.01,50,756.66,157,2147.46,2.2,153
069ac26a8946,22,245.01,152.33,1,11.34,4,33.89,2.3,5
06ad05bbca10,4,53.62,32.89,1,16.83,1,16.83,2.5,0
06afe469d1e3,4,30.48,15.94,0,0,2,17.91,1.8,1
06b15f50af7d,22,376.68,233.45,0,0,0,0,2.8,4
06be1c2969c0,73,1618.21,967.86,0,0,0,0,2.9,9
06ce27be8e7f,107,1012.36,531.81,2,33.00,7,99.78,1.4,7
06d93296f60a,44,666.32,450.06,26,388.65,44,666.32,2.8,0
06e24e00c867,1253,13211.22,8604.12,127,1161.22,440,4424.60,1.7,58
06e86173b250,0,0,0,0,0,0,0,0,2
06e862f000f8,98,988.86,616.90,20,222.62,32,323.46,2.0,1
06ec34ba7613,14,199.36,122.86,0,0,0,0,2.1,1
06ed905bc069,63,810.90,527.35,7,101.48,19,257.09,2.1,1
06fd886487b1,2311,25860.96,13513.26,94,915.79,269,3085.89,1.7,89
06fdbd673286,7,118.50,57.56,0,0,0,0,4.0,1
070027a45a8a,30,549.51,284.31,0,0,3,16.76,1.9,2
07035feea2e6,2,33.63,20.63,0,0,0,0,3.0,1
0718caa76b31,1,3.54,2.68,0,0,0,0,1.0,0
072750308437,10,89.66,60.80,2,10.15,3,48.38,1.8,0
072a05c9c3dc,55,864.06,557.71,0,0,3,51.71,3.1,12
072c3b710f6b,8,91.58,58.53,2,17.72,3,30.88,1.8,3
072de71899c5,13,71.71,57.32,1,4.29,4,17.29,1.3,0
0749af9b3dfa,222,3246.40,1697.25,7,93.70,14,311.10,1.9,9
074b0f5f00b6,6,60.80,45.58,6,60.80,6,60.80,1.7,2
0761e51bb2de,18,380.55,244.68,0,0,0,0,2.4,5
076a1b8935b8,10,164.39,85.95,0,0,0,0,2.2,1
077304d9662e,2128,34756.16,18969.13,15,186.27,77,1105.82,2.8,41
0776f6e1f248,0,0,0,0,0,0,0,0,0
077da113e6bc,123,1764.48,1289.75,7,122.34,24,352.92,2.4,7
0784eea14025,5,40.86,25.42,0,0,0,0,1.6,2
078a4996249f,1,4.24,3.39,0,0,0,0,1.0,0
078d00921d10,1,5.89,3.71,0,0,0,0,1.0,1
078f3bb53112,2,22.39,14.09,0,0,0,0,2.0,3
079120ec8d62,4,197.14,128.24,0,0,0,0,1.8,3
07acdbf385c6,1898,30918.20,15280.77,14,376.05,36,791.03,2.2,128
07ae0a0a8480,3,19.01,13.94,0,0,0,0,2.0,0
07b780bac274,10,124.47,62.53,0,0,0,0,2.5,5
07bf23cc0a1e,7,89.40,54.29,2,27.39,4,57.57,2.4,0
07ca17a408ec,19,200.59,140.37,0,0,1,0.00,2.0,3
07cb934c7a95,43,442.35,283.66,0,0,7,78.97,2.0,2
07d7e595341c,4,39.51,18.85,0,0,0,0,2.3,0
07e5a8ca88e6,426,5950.30,3050.75,0,0,1,14.16,2.2,12
08079f6c7e01,0,0,0,0,0,0,0,0,2
081e69eedc44,47,745.86,499.66,0,0,0,0,2.7,10
0833e782058d,5606,62237.76,34109.41,5,81.66,8,118.14,1.8,66
083e5b2bc09f,29,555.94,345.24,5,56.11,8,102.67,3.2,5
0841471e1bb0,159,3191.44,1565.33,0,0,0,0,2.3,18
085a7bc4ab3c,14,156.17,100.12,0,0,1,15.21,2.4,1
085df68a0ed1,105,1064.82,690.22,9,110.06,15,162.45,1.6,5
085f5270e410,35,527.93,333.47,0,0,0,0,2.2,9
0863fd271066,1,5.59,3.52,0,0,0,0,1.0,0
08672dff8875,0,0,0,0,0,0,0,0,2
087b2af4698e,3157,31564.69,19121.79,150,1454.82,167,1632.60,1.4,91
088011dbede5,28,737.28,535.32,3,130.81,7,177.49,4.3,1
0897916e4394,0,0,0,0,0,0,0,0,1
089860b6e08e,9,245.05,164.22,3,37.37,4,74.11,2.4,1
0898a584ab6a,1,26.72,16.72,0,0,0,0,4.0,0
0899538b03d8,54,1062.83,671.71,0,0,0,0,2.3,11
08a925d253dd,105,1406.36,787.36,1,5.58,4,24.23,1.9,13
08abe2974f1a,0,0,0,0,0,0,0,0,3
08adadbc27be,42,703.10,368.31,0,0,1,7.01,2.2,2
08b426b0486e,186,2590.88,1758.18,8,112.86,28,298.33,1.7,6
08b673bc5584,762,13169.89,7332.34,16,410.02,27,623.86,2.4,50
08b84585a872,21,179.43,96.96,6,22.56,13,123.42,2.0,1
08b8b372d9dc,19,231.95,147.30,5,46.75,8,83.33,2.0,2
08caea9afb18,0,0,0,0,0,0,0,0,0
08cba7232fff,27,322.44,188.38,0,0,0,0,2.3,1
08cd32f90ca5,13,167.03,102.31,1,13.62,2,30.80,2.7,4
08d9708ef227,2,46.46,33.63,0,0,0,0,3.5,0
08e062c53dfe,1,4.36,3.49,0,0,0,0,1.0,0
08e628039538,96,1247.00,799.10,2,23.29,5,47.99,1.7,10
08ebe9f97bc2,2,59.12,40.32,0,0,0,0,2.0,0
08ed4defb09a,0,0,0,0,0,0,0,0,1
08f322021f27,2,85.70,53.92,0,0,0,0,7.5,3
08fbfe872fcd,2,10.75,8.13,0,0,0,0,1.5,1
0904842c7a56,0,0,0,0,0,0,0,0,1
0906c1f63963,7,122.23,43.13,0,0,0,0,2.7,2
09075aebc445,12,79.44,48.31,0,0,0,0,1.3,3
090ad3ca79bf,66,971.32,672.29,1,6.40,2,12.72,2.0,3
090fb6851320,19,245.05,149.66,0,0,3,20.51,2.8,5
0911fccf2054,3,23.61,14.93,0,0,0,0,1.3,5
09185533697c,16,149.41,70.91,0,0,0,0,2.3,1
092147af0b91,5,65.40,41.65,0,0,0,0,2.4,1
0924938c233e,0,0,0,0,0,0,0,0,1
09273ac7d885,7,168.24,75.01,0,0,0,0,4.1,0
0929d2458e72,30,1812.99,1109.48,0,0,3,108.35,2.2,3
092e11fc5f79,28,356.73,194.13,0,0,0,0,2.5,3
092e68550fb7,2,41.51,26.36,0,0,0,0,3.5,1
093328cf0c31,25,628.22,368.57,1,7.38,2,13.76,3.7,3
0939f9847bb5,169,2344.45,1593.96,8,115.80,10,127.33,2.2,12
0942b18aa7f4,83,995.90,670.52,12,159.20,27,336.25,2.3,2
0949b068ebf0,71,1097.77,691.01,0,0,0,0,2.8,12
094afbfb8ca7,3,32.13,20.57,0,0,0,0,2.0,1
095610429db9,1,5.86,3.72,0,0,0,0,1.0,0
095ec181f8e7,9,294.99,165.66,1,13.63,1,13.63,3.9,3
096c934184c2,2,24.37,12.19,0,0,0,0,2.0,1
096fca6f1213,3,37.19,19.57,0,0,0,0,3.3,1
097586f0796c,1352,19894.41,9717.84,61,982.24,136,1930.33,2.3,33
0976e6975b95,5,61.96,39.14,0,0,0,0,2.2,1
097cfc70f4c6,157,2440.03,1521.95,3,42.08,7,113.83,2.4,13
097ded1f0ee6,4,25.08,15.08,0,0,0,0,1.0,3
09968ba839d0,0,0,0,0,0,0,0,0,1
09970b537312,332,5810.29,3808.94,25,510.38,51,1034.40,2.5,9
09976fdca259,117,1384.41,594.01,0,0,0,0,2.2,29
099ac1610d69,2,57.08,38.68,2,57.08,2,57.08,5.0,0
09a662b60e24,29,280.89,146.14,4,23.72,5,30.10,1.5,2
09add3e2ddd5,17,274.06,159.42,0,0,1,5.62,2.5,4
09bc3385bd85,3,33.51,21.23,1,14.09,1,14.09,2.3,0
09bf311d5271,0,0,0,0,0,0,0,0,2
09d18f540537,7,95.20,55.57,0,0,5,53.82,2.9,1
09dad2d0dd09,1,5.66,3.16,0,0,0,0,1.0,0
09db058c7431,4,59.77,29.90,0,0,0,0,3.5,0
09e1f2a3e7a6,47,811.50,509.35,5,82.42,15,191.85,2.3,3
09e5e9e106f6,7,102.34,65.64,0,0,0,0,2.1,3
09e692fa0432,21,249.03,159.66,1,22.38,12,133.31,2.4,0
09ef6690f7b5,1,23.48,14.83,0,0,0,0,4.0,3
09f1b548489b,3,56.53,34.55,0,0,1,4.96,3.7,1
09fb07845b24,29,279.52,182.68,1,4.25,3,10.07,1.8,3
09fc3e7f47bb,0,0,0,0,0,0,0,0,1
09fe4b1b572e,2929,44032.24,25251.14,17,254.56,47,679.03,1.9,170
09fe7d324403,19,312.77,202.57,2,29.11,3,35.69,2.2,4
09fe7d812f84,8,138.30,92.12,0,0,1,5.76,1.6,1
0a0638277646,25,292.20,149.95,0,0,1,18.52,2.2,5
0a0ce808dd03,21,277.82,136.82,0,0,0,0,2.2,4
0a0e74b084ee,67,1082.27,795.20,12,197.62,18,263.64,2.6,7
0a131afc3729,72,634.00,342.90,0,0,0,0,1.5,5
0a148411b969,2313,36601.50,22075.00,197,2767.15,270,3725.69,2.4,132
0a198abdda37,48,600.40,306.65,0,0,0,0,2.0,2
0a27583ea131,39,535.17,340.00,0,0,0,0,2.5,4
0a37b353f368,21,307.61,188.06,0,0,0,0,2.9,3
0a4c9aa0d554,78,1584.25,1159.88,2,108.12,3,119.44,2.4,19
0a5281442aab,304,3018.80,1581.55,0,0,0,0,1.6,12
0a529ce4e39b,381,5150.56,2896.96,23,232.16,43,496.85,2.0,31
0a52e91fce3b,3,15.81,12.33,0,0,2,7.14,1.0,0
0a5355196456,1,16.58,10.65,0,0,0,0,3.0,2
0a63980af00a,1288,17647.11,11006.19,60,898.33,118,1636.93,2.2,47
0a6f10aeca51,361,5565.71,3540.12,1,0.00,1,0.00,2.7,17
0a70b509e4a6,52,573.51,355.11,0,0,0,0,1.9,21
0a7bef735495,285,3820.08,2092.82,0,0,0,0,2.2,10
0a7c59be60df,12,93.63,53.63,0,0,1,28.52,1.8,8
0a7df114aaaf,95,898.90,492.95,0,0,0,0,1.6,1
0a7ea4d1135d,13,193.08,121.82,0,0,0,0,2.5,8
0a8b9044adf2,1,11.49,7.23,0,0,0,0,2.0,6
0a8e3d00617c,1,73.48,45.98,0,0,0,0,11.0,0
0a8eac405b68,11,153.94,98.22,0,0,0,0,2.6,6
0aa69074b017,1,5.81,3.20,0,0,0,0,1.0,0
0aaeb059ab80,0,0,0,0,0,0,0,0,1
0ab231f27f55,59,912.34,582.84,10,106.74,21,283.94,2.7,3
0ab4010317df,114,1247.00,650.80,0,0,0,0,1.7,0
0abdc69bc4bc,31,601.70,391.29,0,0,0,0,2.4,11
0ac18927490e,0,0,0,0,0,0,0,0,6
0ac5bb5e4425,12,83.31,46.35,0,0,0,0,1.6,0
0ac703c1e8b6,1,9.60,5.60,0,0,0,0,2.0,0
0ac7497b60f9,4,43.51,28.98,0,0,4,43.51,2.0,6
0acbc7a30660,5,108.58,66.19,0,0,0,0,4.0,4
0ad3cf8f23a2,10,88.45,53.97,0,0,0,0,1.4,12
0ad6935ba177,2,26.72,16.72,0,0,0,0,2.0,0
0adbc2457ce1,346,5263.80,2733.14,27,401.45,59,956.16,2.4,18
0ae634a4ac92,144,2194.14,1469.83,8,74.02,21,240.64,2.7,11
0ae8a099761d,6,119.40,69.40,0,0,0,0,3.3,0
0af4a5869eba,22,627.41,353.98,0,0,0,0,1.9,3
0af8cabb777f,4,43.29,26.33,0,0,2,13.24,2.3,0
0b135fbec456,46,798.17,368.95,1,11.29,3,36.66,2.8,0
0b13b1659855,0,0,0,0,0,0,0,0,1
0b141baa2a91,32,450.69,282.64,0,0,0,0,2.5,7
0b16d83f095b,4,85.99,68.70,0,0,0,0,1.0,0
0b1bdd8966e9,23,420.22,294.50,0,0,0,0,2.3,13
0b2a34c3d557,0,0,0,0,0,0,0,0,2
0b32f7f08b05,1,12.79,10.22,0,0,0,0,1.0,0
0b39898c9f82,29,271.94,212.18,0,0,0,0,1.6,13
0b4373babab6,1,18.35,11.11,0,0,0,0,3.0,2
0b505faeca38,13,211.60,117.55,0,0,0,0,2.5,4
0b50db36e337,13,196.31,196.31,2,20.08,4,56.46,3.2,0
0b564c489814,6,38.62,24.50,0,0,2,17.04,1.2,0
0b5925bf5bc8,309,4167.97,2704.51,7,53.98,46,539.25,1.9,13
0b5d5a52cf26,1424,23660.18,15248.88,50,785.38,125,1915.09,2.4,71
0b60a33a90bd,461,4879.60,3258.30,0,0,0,0,1.9,14
0b61ed5b0482,713,9306.25,5431.16,10,101.74,32,315.61,2.5,93
0b6dd4c87bdc,29,128.93,102.49,2,8.63,3,12.95,1.1,6
0b71c844e396,10,132.06,71.42,0,0,0,0,2.8,5
0b8c32d530b7,27,270.00,143.75,0,0,0,0,1.5,1
0b9736dfff72,37,764.48,505.23,2,28.33,2,28.33,2.2,2
0b998855b345,2,17.64,8.97,0,0,0,0,2.0,0
0b9ccb0d7a04,95,966.96,565.21,0,0,0,0,1.7,10
0b9d93857143,2,17.17,13.72,0,0,0,0,1.0,0
0ba53194ea22,4,62.70,36.95,0,0,0,0,2.8,4
0bada1ab3a69,1,48.16,33.66,0,0,0,0,1.0,2
0badcdd3d433,225,3667.86,1977.81,0,0,0,0,2.6,27
0bb354dc042d,2,34.64,23.01,0,0,0,0,3.0,1
0bc0cde3411a,2,17.11,8.56,0,0,0,0,2.0,0
0bc1049f6d5c,46,842.58,519.39,0,0,0,0,1.9,3
0bc65e6286e6,73,774.09,542.09,0,0,0,0,1.5,10
0bd1b17627a2,3,65.44,39.82,0,0,2,50.77,5.0,0
0bd761ea55ea,2,25.87,14.60,0,0,1,16.17,2.5,0
